timestamp,src_ip,dst_ip,src_port,dst_port,protocol,dns_query
2025-04-07 18:15:12.044698,172.16.2.168,172.16.61.46,22.0,63792.0,Raw,
2025-04-07 18:15:12.045212,172.16.61.46,172.16.2.168,63792.0,22.0,Padding,
2025-04-07 18:15:12.245002,172.32.16.45,172.32.16.255,138.0,138.0,SMB COM Transaction Request,
2025-04-07 18:15:12.280673,0.0.0.0,255.255.255.255,68.0,67.0,DHCP options,
2025-04-07 18:15:12.367166,172.16.2.168,172.16.3.4,51253.0,123.0,NTPHeader,
2025-04-07 18:15:12.378568,172.16.3.4,172.16.2.168,123.0,51253.0,NTPHeader,
2025-04-07 18:15:12.497786,172.16.0.61,172.16.3.255,138.0,138.0,SMB COM Transaction Request,
2025-04-07 18:15:12.584564,172.16.4.128,172.16.2.168,59456.0,10050.0,TCP,
2025-04-07 18:15:12.584660,172.16.2.168,172.16.4.128,10050.0,59456.0,TCP,
2025-04-07 18:15:12.584899,172.16.4.128,172.16.2.168,59456.0,10050.0,Padding,
2025-04-07 18:15:12.584940,172.16.4.128,172.16.2.168,59456.0,10050.0,Raw,
2025-04-07 18:15:12.584956,172.16.2.168,172.16.4.128,10050.0,59456.0,TCP,
2025-04-07 18:15:12.585308,172.16.2.168,172.16.3.4,37314.0,53.0,DNS,srvmonzabbix5-trf1.trf1.gov.br.
2025-04-07 18:15:12.585329,172.16.2.168,172.16.3.4,37314.0,53.0,DNS,srvmonzabbix5-trf1.trf1.gov.br.
2025-04-07 18:15:12.590574,172.16.3.4,172.16.2.168,53.0,37314.0,DNS,srvmonzabbix5-trf1.trf1.gov.br.
2025-04-07 18:15:12.590610,172.16.3.4,172.16.2.168,53.0,37314.0,DNS,srvmonzabbix5-trf1.trf1.gov.br.
2025-04-07 18:15:12.590906,172.16.2.168,172.16.3.4,49645.0,53.0,DNS,srvzbxpx1-trf1.trf1.gov.br.
2025-04-07 18:15:12.590926,172.16.2.168,172.16.3.4,49645.0,53.0,DNS,srvzbxpx1-trf1.trf1.gov.br.
2025-04-07 18:15:12.591374,172.16.3.4,172.16.2.168,53.0,49645.0,DNS,srvzbxpx1-trf1.trf1.gov.br.
2025-04-07 18:15:12.591394,172.16.3.4,172.16.2.168,53.0,49645.0,DNS,srvzbxpx1-trf1.trf1.gov.br.
2025-04-07 18:15:12.591556,172.16.2.168,172.16.3.4,39948.0,53.0,DNS,srvzbxpx2-trf1.trf1.gov.br.
2025-04-07 18:15:12.591575,172.16.2.168,172.16.3.4,39948.0,53.0,DNS,srvzbxpx2-trf1.trf1.gov.br.
2025-04-07 18:15:12.591864,172.16.3.4,172.16.2.168,53.0,39948.0,DNS,srvzbxpx2-trf1.trf1.gov.br.
